date,voltage,current,power,energy,frequency,powerfactor
23/02/2021,204.5,0.03,0.8,1.38,49.9,0.13
24/02/2021,211.5,0.16,29.4,1.38,49.9,0.88
24/02/2021,210.2,0.15,27.5,1.39,49.9,0.86
24/02/2021,211,0.15,27.4,1.4,50,0.85
24/02/2021,210.3,0.15,27.1,1.4,50,0.85
24/02/2021,210.4,0.15,27.1,1.41,49.9,0.85
24/02/2021,207.7,0.15,26.5,1.42,49.8,0.85
24/02/2021,206.1,0.15,26.1,1.42,49.9,0.85
24/02/2021,201.6,0.15,25.1,1.43,50,0.85
24/02/2021,208,0.15,27.2,1.43,49.9,0.85
24/02/2021,204.8,0.15,26.4,1.44,50,0.85
24/02/2021,206.6,0.15,26.8,1.45,49.9,0.85
24/02/2021,202.7,0.15,25.9,1.45,50.1,0.85
24/02/2021,200.2,0.15,25.3,1.46,50,0.85
24/02/2021,199.5,0.15,25.1,1.47,50,0.85
24/02/2021,200.8,0.15,25.4,1.47,49.8,0.85
24/02/2021,198.5,0.15,24.9,1.48,50,0.85
24/02/2021,201.8,0.15,25.7,1.49,50,0.85
24/02/2021,198.4,0.15,24.9,1.49,50,0.85
24/02/2021,201.6,0.16,28.6,1.5,50.3,0.89
24/02/2021,200.9,0.16,28.4,1.51,50,0.89
24/02/2021,203.1,0.16,29,1.51,49.8,0.89
24/02/2021,202.5,0.16,28.8,1.52,50,0.89
24/02/2021,203.8,0.16,29.1,1.53,49.9,0.89
24/02/2021,205.5,0.16,29.6,1.53,50,0.89
24/02/2021,208.4,0.16,30.3,1.54,50,0.89
24/02/2021,203.4,0.16,29,1.55,50,0.89
24/02/2021,204.9,0.16,29.4,1.56,50,0.89
24/02/2021,201.9,0.16,28.7,1.56,50,0.89
24/02/2021,204,0.18,35,1.57,50.1,0.97
24/02/2021,202.3,0.17,34.4,1.58,49.9,0.98
24/02/2021,205.8,0.18,35.5,1.59,50,0.97
24/02/2021,205.3,0.18,35.3,1.6,49.8,0.98
24/02/2021,209.1,0.17,35.5,1.61,50,0.98
24/02/2021,202.8,0.17,33.5,1.62,50,0.98
24/02/2021,200.4,0.17,32.8,1.62,49.7,0.98
24/02/2021,196.3,0.17,31.6,1.63,50,0.98
24/02/2021,193,0.15,25.8,1.64,50,0.89
24/02/2021,191.6,0.15,25.4,1.65,50,0.89
24/02/2021,193.7,0.15,25.9,1.65,50,0.89
24/02/2021,193.9,0.15,25.9,1.66,50,0.89
24/02/2021,193.8,0.15,25.9,1.67,50,0.89
24/02/2021,196.8,0.15,26.6,1.67,49.9,0.89
24/02/2021,196.4,0.15,26.5,1.68,50,0.89
24/02/2021,198.2,0.15,27,1.69,50,0.89
24/02/2021,199.3,0.15,27.2,1.69,49.9,0.89
24/02/2021,198.5,0.15,26.9,1.7,50,0.89
24/02/2021,199.9,0.15,27.3,1.71,50,0.89
24/02/2021,198.1,0.15,26.9,1.71,50,0.89
24/02/2021,194,0.15,26,1.72,49.9,0.89
24/02/2021,191.9,0.15,25.5,1.73,49.9,0.89
24/02/2021,198.6,0.15,27.1,1.73,50,0.89
24/02/2021,198.5,0.15,27,1.74,49.8,0.89
24/02/2021,197.9,0.15,26.9,1.75,50,0.89
24/02/2021,195,0.15,26.2,1.75,50,0.9
24/02/2021,199.9,0.15,27.3,1.76,50,0.89
24/02/2021,198.9,0.15,24.6,1.77,50,0.85
24/02/2021,190.5,0.14,22.7,1.77,50,0.85
24/02/2021,189.2,0.14,22.4,1.78,49.9,0.85
25/02/2021,194.6,0.14,23.6,1.78,50,0.85
25/02/2021,192.1,0.14,23.1,1.79,50,0.85
25/02/2021,192.8,0.14,23.2,1.79,49.7,0.85
25/02/2021,191.4,0.14,22.9,1.8,49.9,0.85
25/02/2021,194,0.14,23.5,1.81,49.9,0.86
25/02/2021,194.9,0.14,23.7,1.81,49.9,0.86
25/02/2021,194.4,0.14,23.5,1.82,49.9,0.85
25/02/2021,192.5,0.14,23.2,1.82,50,0.85
25/02/2021,195.7,0.14,23.8,1.83,49.9,0.85
25/02/2021,193.4,0.14,23.3,1.84,49.9,0.85
25/02/2021,198.8,0.15,24.5,1.84,50,0.85
25/02/2021,197.3,0.14,24.2,1.85,49.9,0.86
25/02/2021,202,0.15,25.2,1.85,50,0.85
25/02/2021,202.2,0.15,25.2,1.86,49.9,0.85
25/02/2021,200.9,0.15,24.9,1.87,50,0.85
25/02/2021,200.9,0.15,24.9,1.87,50,0.85
25/02/2021,203.2,0.15,25.5,1.88,50,0.85
25/02/2021,203.3,0.15,25.5,1.89,49.8,0.85
25/02/2021,203.9,0.15,25.6,1.89,50,0.85
25/02/2021,205.8,0.15,26.1,1.9,50,0.85
25/02/2021,205.7,0.15,26,1.91,50.1,0.85
25/02/2021,208.2,0.15,26.6,1.91,50,0.85
25/02/2021,207.5,0.15,26.4,1.92,50,0.85
25/02/2021,205.8,0.15,26,1.93,49.7,0.85
25/02/2021,204.9,0.15,25.9,1.93,50,0.85
25/02/2021,205.4,0.15,26,1.94,49.9,0.85
25/02/2021,204.1,0.15,25.6,1.94,50,0.85
25/02/2021,205.3,0.15,25.9,1.95,49.9,0.85
25/02/2021,206.4,0.15,26.2,1.96,49.8,0.85
25/02/2021,209.1,0.15,26.8,1.96,50,0.85
25/02/2021,207.3,0.15,26.4,1.97,50,0.85
25/02/2021,205.8,0.15,26.1,1.98,50.1,0.85
25/02/2021,209.6,0.15,26.9,1.98,50,0.85
25/02/2021,206.7,0.15,26.2,1.99,49.9,0.85
